{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 4.2736336118657841, 'meanValidationLoss': 4.2742800991291219, 'meanLosses': 4.2739568554974525}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 2.9054925737467578, 'meanValidationLoss': 2.9469638507897189, 'meanLosses': 2.9262282122682386}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 3.7153295586607102, 'meanValidationLoss': 3.7205815785132317, 'meanLosses': 3.7179555685869712}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 2.5699798497881412, 'meanValidationLoss': 2.622869332466168, 'meanLosses': 2.5964245911271546}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 3.6719500727501209, 'meanValidationLoss': 3.6748632774667271, 'meanLosses': 3.6734066751084242}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 2.5533657211538192, 'meanValidationLoss': 2.6032176079629652, 'meanLosses': 2.5782916645583924}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 3.7832633525965167, 'meanValidationLoss': 3.7845184774716829, 'meanLosses': 3.7838909150340996}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.01, 'ALPHA': 0.9, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 2.5983648330958276, 'meanValidationLoss': 2.6479986128648987, 'meanLosses': 2.6231817229803633}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 8.9879967224269031, 'meanValidationLoss': 9.0780324057279103, 'meanLosses': 9.0330145640774067}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 8.6343683682756058, 'meanValidationLoss': 8.7413853300098605, 'meanLosses': 8.6878768491427323}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 8.9685444323396446, 'meanValidationLoss': 9.0593898726346289, 'meanLosses': 9.0139671524871368}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 8.6265871100248557, 'meanValidationLoss': 8.7339279792657951, 'meanLosses': 8.6802575446453254}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 9.0210370992077724, 'meanValidationLoss': 9.1117744638767615, 'meanLosses': 9.066405781542267}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 8.6475860223654752, 'meanValidationLoss': 8.754883637616734, 'meanLosses': 8.7012348299911046}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 7.3754003778168276, 'meanValidationLoss': 7.3927002309608811, 'meanLosses': 7.3840503043888539}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 6.9735368032886749, 'meanValidationLoss': 7.010883564876222, 'meanLosses': 6.9922101840824489}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 7.3567142854678833, 'meanValidationLoss': 7.3748687123003513, 'meanLosses': 7.3657914988841178}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 6.9660618928860076, 'meanValidationLoss': 7.0037505173833052, 'meanLosses': 6.9849062051346564}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 7.4111268762268283, 'meanValidationLoss': 7.4292306912602317, 'meanLosses': 7.4201787837435305}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 6.9878270120547237, 'meanValidationLoss': 7.025495385490613, 'meanLosses': 7.0066611987726688}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 6.3964814862012895, 'meanValidationLoss': 6.3772842760342341, 'meanLosses': 6.3868828811177618}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 6.0332591656006702, 'meanValidationLoss': 6.0391941155505249, 'meanLosses': 6.0362266405755971}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 6.3787812857817006, 'meanValidationLoss': 6.3605570164488485, 'meanLosses': 6.369669151115275}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.5, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 6.0261583810106583, 'meanValidationLoss': 6.032483152711273, 'meanLosses': 6.0293207668609661}
